Percent,NDMI,Dist_roads,Elevation,TCWcv,SnowDepth,SnowDepth_cv,MAT,MATcv,MAP,MAPcv,Slope,NDWIcv,LSWIcv
55,0.01835877,630,1118.2368,-0.305361233,0.065855555,1.653654872,5.72649705,1.993912627,522.3600003,0.006909,2.9367106,0.590703432,34.57813189
55,0.021107128,1771.0166,1126.5312,-0.230707217,0.06207778,1.635225389,5.6632693,2.010293131,515.4600002,0.007114815,1.4475379,0.484861361,30.91341276
65,-0.012187299,2401.687,1122.3052,-0.246512316,0.06695555,1.657152193,5.71375,1.998636816,513.7900005,0.007126786,2.2325373,0.588492448,30.6377862
55,-0.04381038,2821.4358,1130.0449,-0.195670422,0.06584445,1.661693218,5.71375,1.998636816,513.7900005,0.007126786,3.3222606,0.566662573,29.47396432
75,-0.02312266,2851.4207,1130.4376,-0.218963822,0.06584445,1.661693218,5.71375,1.998636816,513.7900005,0.007126786,1.8817422,0.592235508,29.47396432
75,0.024154589,2851.4207,1130.144,-0.240799309,0.06584445,1.661693218,5.71375,1.998636816,513.7900005,0.007126786,1.664029,0.513181436,29.47396432
20,-0.010761946,2977.415,1131.9539,-0.200577005,0.06584445,1.661693218,5.7009481,1.999575006,516.0099988,0.0071546,5.1744876,0.473151245,29.20391969
40,0.013978719,3581.0752,986.37897,-0.172737813,0.036766667,1.003000561,6.11160738,1.901494866,665.6800018,0.007078527,2.434835,0.415556316,26.74160721
75,0.056155033,2461.6458,1111.3157,-0.255961909,0.06584445,1.661693218,5.71375,1.998636816,513.7900005,0.007126786,2.522955,0.462878338,26.65796403
40,0.1403717,543.3231,1141.4714,-0.432794045,0.06097778,1.625293438,5.6719093,1.997694169,511.0200018,0.007450471,7.096096,0.395806031,26.52426704
6.1244,0.006007873,30,1008.80615,-0.171155009,0.023977779,1.612627902,8.7019369,1.220618119,866.3499983,0.008483278,4.964869,0.562550336,26.20764447
77.5022,0.013771839,30,1008.3432,-0.190812137,0.023977779,1.612627902,8.7019369,1.220618119,866.3499983,0.008483278,5.0966077,0.533813722,26.20764447
65,0.040412724,900.4999,1098.0848,-0.28905807,0.06813333,1.67116191,5.76881875,1.98417869,507.6400001,0.007135265,5.685485,0.526337939,24.18518122
20,0.014451455,1186.8024,1112.1819,-0.25980607,0.06536666,1.671567104,5.7231868,1.9952853,514.5800016,0.007053523,1.2898903,0.639185179,24.07692942
55,-0.021382397,1186.8024,1111.9927,-0.284775643,0.06536666,1.671567104,5.7231868,1.9952853,514.5800016,0.007053523,0.6082911,0.659758318,24.07692942
75,0.016053647,1186.8024,1112.0635,-0.306297076,0.06536666,1.671567104,5.7231868,1.9952853,514.5800016,0.007053523,1.6205574,0.602136885,24.07692942
20,-0.045444757,1945.3792,1024.1084,-0.05720794,0.0391,0.942320577,6.12461505,1.893468586,666.5600031,0.006904248,7.960038,0.200394447,23.66514396
20,-0.045741722,1470,1116.5845,-0.242353645,0.063533336,1.660310064,5.7231868,1.9952853,514.5800016,0.007053523,5.190018,0.714840386,22.74009805
20,-0.054403514,1231.4625,1112.1627,-0.238546823,0.0651,1.648169851,5.7231868,1.9952853,514.5800016,0.007053523,4.5330124,0.677716852,22.10744797
40,-0.013364595,1231.4625,1112.2245,-0.266555293,0.0651,1.648169851,5.7231868,1.9952853,514.5800016,0.007053523,4.781407,0.613072212,22.10744797
55,0.017057084,1201.499,1111.5359,-0.292796159,0.0651,1.648169851,5.7231868,1.9952853,514.5800016,0.007053523,3.3692627,0.584278598,22.10744797
51.678,-0.037964776,67.08204,973.88306,-0.189898531,0.025055556,1.626005397,8.7880629,1.21335281,855.4800043,0.008425444,8.597255,0.618757272,21.74442855
61.7501,-0.037964776,67.08204,973.88306,-0.189898531,0.025055556,1.626005397,8.7880629,1.21335281,855.4800043,0.008425444,8.597255,0.618757272,21.74442855
36.3062,-0.028704422,67.08204,975.6552,-0.205709393,0.025055556,1.626005397,8.7880629,1.21335281,855.4800043,0.008425444,10.426851,0.5546251,21.74442855
8.56889,-0.028704422,67.08204,975.6552,-0.205709393,0.025055556,1.626005397,8.7880629,1.21335281,855.4800043,0.008425444,10.426851,0.5546251,21.74442855
55,-0.040326234,30,1134.3481,-0.196238702,0.06117778,1.628019076,5.7297115,1.982370223,504.8400039,0.007508664,1.5270791,0.54980607,21.56813676
15.3171,-0.044969864,30,1008.4168,-0.191422588,0.023977779,1.612627902,8.7019369,1.220618119,866.3499983,0.008483278,9.803418,0.699321736,21.5491856
65,-0.06608627,1026.1578,1103.9502,-0.238727214,0.0651,1.648169851,5.7231868,1.9952853,514.5800016,0.007053523,1.1687579,0.55394171,21.30133474
75,0.035800572,1055.1304,1103.5317,-0.402865029,0.0651,1.648169851,5.7231868,1.9952853,514.5800016,0.007053523,1.2615054,0.538112149,21.30133474
40,0.034891374,1506.5856,1127.8496,-0.280723096,0.06318889,1.632169182,5.6527201,2.014055646,521.2800033,0.007011507,8.430249,0.538795171,20.46032602
20,0.015887223,1056.8348,1112.55,-0.277407604,0.06536666,1.671567104,5.7231868,1.9952853,514.5800016,0.007053523,4.5917287,0.527217725,19.83655059
55,0.104928456,577.0615,1117.5845,-0.374296224,0.061533332,1.636674858,5.7502058,1.979734352,497.4899985,0.007498462,1.9814183,0.390159563,19.7645005
40,0.006140351,2520,1116.709,-0.185988508,0.06584445,1.661693218,5.71375,1.998636816,513.7900005,0.007126786,5.1798725,0.429940088,19.18732826
40,0.021530004,300,1171.4343,-0.188009583,0.061922222,1.617663651,5.4522942,2.074572735,555.5099991,0.006727558,1.8262444,0.40074917,19.06375413
55,0.009276438,300,1171.2916,-0.197660387,0.061922222,1.617663651,5.4522942,2.074572735,555.5099991,0.006727558,1.9018248,0.452287959,19.06375413
